id;email_direct_manager;name_direct_manager;job_number_direct_manager;job_title_direct_manager;ext_direct_manager
1;descriptive;sinful;enroll;until;bicycle charming
2;beyond save;frenetically;mechanic;pillory vastly;wherever horse
3;quarrelsomely minor among;furthermore;defenseless;why border closely;huzzah
4;lasting when;incidentally so except;yippee onto what;phew suburban;solution
5;jive;brr;likewise warmly;interviewer apud;beyond woot
6;excitedly;metabolite phooey above;boss toward;consequently blight;complication
7;pish;calculus store sleepily;huzzah;rubbery irk behind;quash
8;rightfully;tributary whose;whoa quirkily;yippee vast yearningly;while
9;supportive lest whereas;archaeology enlist;which;searchingly until mechanically;per excitedly
10;yippee;gee primary loyalty;promise;hm quicker;strong thick so
