id;name_discloser;name_relative;job_title_relative;relative_job_number;email_relative;relative_extension_number;relative_relationship;general_administration_relative;administration_relative
1;in-joke gentle;decouple;duh bony duh;blissfully;vice from rich;dispose alert below;unbalance midst briskly;insignificant;hence unkempt
2;whether who squirm;siege;butter victoriously;contractor now guide;limply;now stunning;woot optimistic;ouch webbed;circle hornet
3;afore delight;towards ack flash;once seal hmph;bowed apud;jubilant total yum;hypothesize opposite;peppery;as;hexagon willfully
4;gah conceptualize mmm;separately;focalise cap;velvety whereas now;whoa sans along;toward bravely as;impact phooey;exotic mid;dock athwart
5;before;upbeat bleakly briskly;perfectly;radiant;circa subexpression;round;typeface swim;ugh er;wildly
6;although dream yet;versus;sushi yahoo;abaft bookcase gloss;oxygenate lazily;misfire greatly vivacious;till;optimal failing;whenever
7;outset ugh;noon coast essay;readily what realistic;recklessly cow;um;until meh;ack come;uniform embalm camouflage;wonderfully woot unless
8;eek loudly;furthermore rosin but;instead analogy;anaesthetise pace gloss;degrease;sensitize;before along;ack;drat ascertain
9;excepting throughout softly;roger whoever;however since;sometimes cripple as;subexpression darn ugh;mmm a;beautifully spotless maroon;queasily;impanel
10;bidet;qua yippee draft;concerning dearest;back below;aged;around;inside besides repentant;eek during furthermore;fairly
